期数,书名,作者
1,神曲,但丁
1,美丽新世界,奥尔德斯·赫胥黎
1,不正常人类症候群,张寒寺
1,一个叫欧维的男人决定去死,弗雷德里克·巴克曼
1,春雪,三岛由纪夫
2,纳粹高徒,斯蒂芬·金
2,俗女养成记,江鹅
2,都柏林人,詹姆斯·乔伊斯
2,梦中欢快的葬礼和十二个异乡故事,加西亚·马尔克斯
2,自我分析,卡伦·霍妮
3,冬牧场,李娟
3,翦商,李硕
3,我与地坛,史铁生
3,中国人自画像,陈季同
3,在细雨中呼喊,余华
4,云彩收集者手册,加文·普雷特-平尼
4,沃特希普荒原,理查德·亚当斯
4,末日松茸,罗安清
4,树上的男爵,伊塔洛·卡尔维诺
4,空气之海漫游指南,克里斯托弗·杜德尼
5,快乐的死,阿尔贝·加缪
5,德米安：彷徨少年时,赫尔曼·黑塞
5,茶花女,小仲马
5,高堡奇人,菲利普·迪克
5,可爱的骨头,艾丽斯·西伯德
6,外婆的道歉信,弗雷德里克·巴克曼
6,生命式,村田沙耶香
6,搏击俱乐部,恰克·帕拉尼克
6,房思琪的初恋乐园,林奕含
6,猎头游戏,尤·奈斯博
7,来自新世界,贵志祐介
7,时间机器,赫伯特·乔治·威尔斯
7,鳄鱼手记,邱妙津
7,流浪地球,刘慈欣
7,猫的摇篮,库尔特·冯内古特
8,紫与黑,K.J.帕克
8,规训与惩罚,米歇尔·福柯
8,zoo,乙一
8,药物简史,德劳因·伯奇
8,荒诞医学史,莉迪亚·康
9,锌皮娃娃兵,S.A.阿列克谢耶维奇
9,艾米莉·狄金森诗歌全集,艾米莉·狄金森
9,献给阿尔吉侬的花束,丹尼尔·凯斯
9,西施泪,高光
9,自私的基因,理查德·道金斯
10,页边和听写,埃莱娜·费兰特
10,盲视,彼得·沃茨
10,素食者,韩江
10,面纱,威廉·萨默塞特·毛姆
10,话/镜 世界因语言而不同,盖伊·多伊彻
11,人都是要死的,西蒙娜·德·波伏娃
11,独裁者手册,布鲁斯·布恩诺·德·梅斯奎塔
11,哭泣的骆驼,三毛
11,黑塞童话集,赫尔曼·黑塞
11,普鲁士军官,D.H.劳伦斯
12,第一炉香,张爱玲
12,爱，鸡尾酒与生化危机,赵艺恩
12,羊脂球,居伊·德·莫泊桑
12,铸剑,鲁迅
12,查令十字街84号,海莲·汉芙
13,莎乐美,奥斯卡·王尔德
13,写作课,叶开
13,呼啸山庄,艾米莉·勃朗特
13,百年孤独,加西亚·马尔克斯
13,银河系搭车指南,道格拉斯·亚当斯
14,乌鸦,埃德加·爱伦·坡
14,司马迁,高光
14,牛虻,艾捷尔·丽莲·伏尼契
14,存在主义咖啡馆：自由、存在和杏子鸡尾酒,莎拉·贝克韦尔
14,园丁的一年,卡雷尔·恰佩克
15,从零开始的女性主义,上野千鹤子
15,我的帝王生涯,苏童
15,大师与玛格丽特,米哈伊尔·阿法纳西耶维奇·布尔加科夫
15,酒吧长谈,马里奥·巴尔加斯·略萨
15,我的天才女友,埃莱娜·费兰特
16,小妇人,路易莎·梅·奥尔科特
16,白蛇,严歌苓
16,巴黎圣母院,维克多·雨果
16,挽救计划,安迪·威尔
16,红拂夜奔,王小波
